# Export File Created with QBlade CE v2.0.9.4_beta windows on 12.11.2025 at 19:21:17
blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00;blade_3 Simulation (2) 5.00
Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-];Radius [m];Axial Induction Factor [-]
2.1631838e-01;1.3652588e-01;2.1631838e-01;1.8133342e-01;2.1631838e-01;2.7629891e-01;2.1631838e-01;4.4206706e-01;2.1631838e-01;5.5091804e-01;2.1631838e-01;6.2020695e-01;2.1631838e-01;6.7928231e-01;2.1631838e-01;7.3267394e-01;2.1631838e-01;7.7136964e-01;2.1631838e-01;7.9558498e-01;2.1631838e-01;8.3181822e-01;2.1631838e-01;8.6505896e-01;2.1631838e-01;8.9542651e-01;2.1631838e-01;9.2379314e-01;2.1631838e-01;9.5177293e-01;2.1631838e-01;9.7868270e-01;2.1631838e-01;1.0043390e+00;2.1631838e-01;1.0282375e+00;2.1631838e-01;1.0514543e+00;2.1631838e-01;1.0742682e+00
2.4429867e-01;1.3072765e-01;2.4429867e-01;1.8149011e-01;2.4429867e-01;2.9066002e-01;2.4429867e-01;4.5546314e-01;2.4429867e-01;5.6210989e-01;2.4429867e-01;6.2956119e-01;2.4429867e-01;6.8972003e-01;2.4429867e-01;7.4738973e-01;2.4429867e-01;7.7065879e-01;2.4429867e-01;8.1162506e-01;2.4429867e-01;8.4879911e-01;2.4429867e-01;8.8316625e-01;2.4429867e-01;9.1501737e-01;2.4429867e-01;9.4613105e-01;2.4429867e-01;9.7610873e-01;2.4429867e-01;1.0046203e+00;2.4429867e-01;1.0311489e+00;2.4429867e-01;1.0568985e+00;2.4429867e-01;1.0822015e+00;2.4429867e-01;1.1070532e+00
2.7272728e-01;1.2825911e-01;2.7272728e-01;1.8681459e-01;2.7272728e-01;3.0951145e-01;2.7272728e-01;4.5922774e-01;2.7272728e-01;5.6933242e-01;2.7272728e-01;6.3820565e-01;2.7272728e-01;7.0385236e-01;2.7272728e-01;7.4931264e-01;2.7272728e-01;7.8366667e-01;2.7272728e-01;8.2680339e-01;2.7272728e-01;8.6563534e-01;2.7272728e-01;9.0133828e-01;2.7272728e-01;9.3553078e-01;2.7272728e-01;9.6882027e-01;2.7272728e-01;1.0005535e+00;2.7272728e-01;1.0298331e+00;2.7272728e-01;1.0582060e+00;2.7272728e-01;1.0860369e+00;2.7272728e-01;1.1133562e+00;2.7272728e-01;1.1403629e+00
3.0115589e-01;1.2870201e-01;3.0115589e-01;1.9703923e-01;3.0115589e-01;3.3147940e-01;3.0115589e-01;4.6596983e-01;3.0115589e-01;5.7015294e-01;3.0115589e-01;6.4691800e-01;3.0115589e-01;7.1809345e-01;3.0115589e-01;7.4889368e-01;3.0115589e-01;7.9762858e-01;3.0115589e-01;8.4183705e-01;3.0115589e-01;8.8216126e-01;3.0115589e-01;9.1952068e-01;3.0115589e-01;9.5627791e-01;3.0115589e-01;9.9125117e-01;3.0115589e-01;1.0237825e+00;3.0115589e-01;1.0548775e+00;3.0115589e-01;1.0852474e+00;3.0115589e-01;1.1150302e+00;3.0115589e-01;1.1445048e+00;3.0115589e-01;1.1733874e+00
3.2913616e-01;1.3196859e-01;3.2913616e-01;2.1223421e-01;3.2913616e-01;3.5640883e-01;3.2913616e-01;4.9267423e-01;3.2913616e-01;5.7974827e-01;3.2913616e-01;6.5669829e-01;3.2913616e-01;7.2283524e-01;3.2913616e-01;7.5977641e-01;3.2913616e-01;8.1085628e-01;3.2913616e-01;8.5632288e-01;3.2913616e-01;8.9787418e-01;3.2913616e-01;9.3796581e-01;3.2913616e-01;9.7642195e-01;3.2913616e-01;1.0125929e+00;3.2913616e-01;1.0464964e+00;3.2913616e-01;1.0794281e+00;3.2913616e-01;1.1117443e+00;3.2913616e-01;1.1436145e+00;3.2913616e-01;1.1748974e+00;3.2913616e-01;1.2056048e+00
3.5622686e-01;1.3821088e-01;3.5622686e-01;2.3284045e-01;3.5622686e-01;3.8468134e-01;3.5622686e-01;5.0766587e-01;3.5622686e-01;5.8936638e-01;3.5622686e-01;6.6936225e-01;3.5622686e-01;7.2246718e-01;3.5622686e-01;7.7156323e-01;3.5622686e-01;8.2335889e-01;3.5622686e-01;8.7030488e-01;3.5622686e-01;9.1347271e-01;3.5622686e-01;9.5569092e-01;3.5622686e-01;9.9575651e-01;3.5622686e-01;1.0327616e+00;3.5622686e-01;1.0683442e+00;3.5622686e-01;1.1031822e+00;3.5622686e-01;1.1373786e+00;3.5622686e-01;1.1710666e+00;3.5622686e-01;1.2040907e+00;3.5622686e-01;1.2365360e+00
3.8200068e-01;1.4791657e-01;3.8200068e-01;2.5985286e-01;3.8200068e-01;4.1672727e-01;3.8200068e-01;5.2279955e-01;3.8200068e-01;5.9964138e-01;3.8200068e-01;6.8260342e-01;3.8200068e-01;7.2295678e-01;3.8200068e-01;7.8189784e-01;3.8200068e-01;8.3543110e-01;3.8200068e-01;8.8321841e-01;3.8200068e-01;9.2863196e-01;3.8200068e-01;9.7238702e-01;3.8200068e-01;1.0134356e+00;3.8200068e-01;1.0518321e+00;3.8200068e-01;1.0891070e+00;3.8200068e-01;1.1256226e+00;3.8200068e-01;1.1616642e+00;3.8200068e-01;1.1969833e+00;3.8200068e-01;1.2316397e+00;3.8200068e-01;1.2657238e+00
4.0605122e-01;1.6199277e-01;4.0605122e-01;2.9497710e-01;4.0605122e-01;4.2437112e-01;4.0605122e-01;5.3479207e-01;4.0605122e-01;6.1224926e-01;4.0605122e-01;6.9054776e-01;4.0605122e-01;7.3106903e-01;4.0605122e-01;7.9202324e-01;4.0605122e-01;8.4602064e-01;4.0605122e-01;8.9527893e-01;4.0605122e-01;9.4275314e-01;4.0605122e-01;9.8783797e-01;4.0605122e-01;1.0296742e+00;4.0605122e-01;1.0695199e+00;4.0605122e-01;1.1084291e+00;4.0605122e-01;1.1465884e+00;4.0605122e-01;1.1841691e+00;4.0605122e-01;1.2209903e+00;4.0605122e-01;1.2571602e+00;4.0605122e-01;1.2927595e+00
4.2799917e-01;1.8207416e-01;4.2799917e-01;3.4125531e-01;4.2799917e-01;4.8090422e-01;4.2799917e-01;5.5740464e-01;4.2799917e-01;6.2805521e-01;4.2799917e-01;6.9489795e-01;4.2799917e-01;7.4067098e-01;4.2799917e-01;8.0096692e-01;4.2799917e-01;8.5597789e-01;4.2799917e-01;9.0644324e-01;4.2799917e-01;9.5547360e-01;4.2799917e-01;1.0017804e+00;4.2799917e-01;1.0444173e+00;4.2799917e-01;1.0855987e+00;4.2799917e-01;1.1259598e+00;4.2799917e-01;1.1656375e+00;4.2799917e-01;1.2045730e+00;4.2799917e-01;1.2427557e+00;4.2799917e-01;1.2802825e+00;4.2799917e-01;1.3172497e+00
4.4749838e-01;2.1115030e-01;4.4749838e-01;4.0301257e-01;4.4749838e-01;5.1628160e-01;4.4749838e-01;5.8240944e-01;4.4749838e-01;6.4863282e-01;4.4749838e-01;7.0009273e-01;4.4749838e-01;7.5111389e-01;4.4749838e-01;8.0945212e-01;4.4749838e-01;8.6470771e-01;4.4749838e-01;9.1654223e-01;4.4749838e-01;9.6672112e-01;4.4749838e-01;1.0136688e+00;4.4749838e-01;1.0574511e+00;4.4749838e-01;1.0999161e+00;4.4749838e-01;1.1414638e+00;4.4749838e-01;1.1824611e+00;4.4749838e-01;1.2225735e+00;4.4749838e-01;1.2619171e+00;4.4749838e-01;1.3005986e+00;4.4749838e-01;1.3386943e+00
4.6424133e-01;2.5512692e-01;4.6424133e-01;4.6391010e-01;4.6424133e-01;5.5110788e-01;4.6424133e-01;6.0990590e-01;4.6424133e-01;6.7432076e-01;4.6424133e-01;7.0919871e-01;4.6424133e-01;7.6334763e-01;4.6424133e-01;8.1844920e-01;4.6424133e-01;8.7219995e-01;4.6424133e-01;9.2525661e-01;4.6424133e-01;9.7631031e-01;4.6424133e-01;1.0238326e+00;4.6424133e-01;1.0685991e+00;4.6424133e-01;1.1121541e+00;4.6424133e-01;1.1547810e+00;4.6424133e-01;1.1966615e+00;4.6424133e-01;1.2375488e+00;4.6424133e-01;1.2775804e+00;4.6424133e-01;1.3168595e+00;4.6424133e-01;1.3554959e+00
4.7796401e-01;3.2751110e-01;4.7796401e-01;5.1447916e-01;4.7796401e-01;5.8239406e-01;4.7796401e-01;6.4022118e-01;4.7796401e-01;6.9782245e-01;4.7796401e-01;7.2978759e-01;4.7796401e-01;7.7949125e-01;4.7796401e-01;8.2913357e-01;4.7796401e-01;8.7947333e-01;4.7796401e-01;9.3241102e-01;4.7796401e-01;9.8414308e-01;4.7796401e-01;1.0321383e+00;4.7796401e-01;1.0776845e+00;4.7796401e-01;1.1219000e+00;4.7796401e-01;1.1647706e+00;4.7796401e-01;1.2064285e+00;4.7796401e-01;1.2468640e+00;4.7796401e-01;1.2863166e+00;4.7796401e-01;1.3249781e+00;4.7796401e-01;1.3629894e+00
4.8844996e-01;4.4205415e-01;4.8844996e-01;5.5033028e-01;4.8844996e-01;6.1925685e-01;4.8844996e-01;6.7252940e-01;4.8844996e-01;7.1843457e-01;4.8844996e-01;7.5514734e-01;4.8844996e-01;7.9979211e-01;4.8844996e-01;8.4394258e-01;4.8844996e-01;8.8897282e-01;4.8844996e-01;9.3829167e-01;4.8844996e-01;9.9011081e-01;4.8844996e-01;1.0384560e+00;4.8844996e-01;1.0838654e+00;4.8844996e-01;1.1265539e+00;4.8844996e-01;1.1672142e+00;4.8844996e-01;1.2065480e+00;4.8844996e-01;1.2447773e+00;4.8844996e-01;1.2821854e+00;4.8844996e-01;1.3189600e+00;4.8844996e-01;1.3552285e+00
4.9553385e-01;5.0807297e-01;4.9553385e-01;5.9862179e-01;4.9553385e-01;6.5423554e-01;4.9553385e-01;7.0686084e-01;4.9553385e-01;7.3991996e-01;4.9553385e-01;7.8199023e-01;4.9553385e-01;8.2300860e-01;4.9553385e-01;8.6285812e-01;4.9553385e-01;9.0264189e-01;4.9553385e-01;9.4538689e-01;4.9553385e-01;9.9413657e-01;4.9553385e-01;1.0416524e+00;4.9553385e-01;1.0825732e+00;4.9553385e-01;1.1206932e+00;4.9553385e-01;1.1573790e+00;4.9553385e-01;1.1933930e+00;4.9553385e-01;1.2287222e+00;4.9553385e-01;1.2635336e+00;4.9553385e-01;1.2979378e+00;4.9553385e-01;1.3320050e+00
4.9910393e-01;5.5218720e-01;4.9910393e-01;6.3220412e-01;4.9910393e-01;6.8425405e-01;4.9910393e-01;7.3518193e-01;4.9910393e-01;7.6611084e-01;4.9910393e-01;8.0664355e-01;4.9910393e-01;8.4489602e-01;4.9910393e-01;8.8165933e-01;4.9910393e-01;9.1826725e-01;4.9910393e-01;9.5552248e-01;4.9910393e-01;9.9617070e-01;4.9910393e-01;1.0373435e+00;4.9910393e-01;1.0724566e+00;4.9910393e-01;1.1064017e+00;4.9910393e-01;1.1397926e+00;4.9910393e-01;1.1727499e+00;4.9910393e-01;1.2055137e+00;4.9910393e-01;1.2379754e+00;4.9910393e-01;1.2701910e+00;4.9910393e-01;1.3021989e+00
